"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 25, 1984","332.75","335.25","336.50","332.50","25.20K","-0.52%"
"Jan 24, 1984","334.50","334.50","334.50","334.50","10.60K","3.08%"
"Jan 23, 1984","324.50","324.25","324.75","322.00","16.83K","0.39%"
"Jan 20, 1984","323.25","325.75","326.00","323.00","24.64K","-1.15%"
"Jan 19, 1984","327.00","330.75","331.25","326.50","17.42K","-0.46%"
"Jan 18, 1984","328.50","330.62","330.75","326.00","20.28K","-0.38%"
"Jan 17, 1984","329.75","327.62","329.75","327.00","17.06K","0.92%"
"Jan 16, 1984","326.75","328.50","329.00","325.75","23.56K","-2.54%"
"Jan 13, 1984","335.25","335.62","335.75","334.00","16.23K","0.07%"
"Jan 12, 1984","335.00","334.75","336.75","334.25","20.14K","0.22%"
"Jan 11, 1984","334.25","333.00","334.75","332.50","14.70K","0.07%"
"Jan 10, 1984","334.00","334.25","334.75","332.75","18.06K","0.91%"
"Jan 09, 1984","331.00","328.88","334.25","327.00","25.64K","0.15%"
"Jan 06, 1984","330.50","333.12","333.50","330.00","20.22K","-0.83%"
"Jan 05, 1984","333.25","331.75","333.50","330.25","19.09K","1.06%"
"Jan 04, 1984","329.75","328.38","330.75","327.75","22.56K","0.00%"
"Jan 03, 1984","329.75","334.50","335.00","329.25","28.90K","-2.22%"
"Dec 30, 1983","337.25","337.00","338.00","336.50","11.54K","-0.15%"
"Dec 29, 1983","337.75","340.12","341.00","337.50","17.50K","-0.73%"
"Dec 28, 1983","340.25","343.12","343.50","340.00","17.28K","-1.16%"
"Dec 27, 1983","344.25","344.50","345.00","342.00","15.21K","0.29%"
"Dec 23, 1983","343.25","343.25","343.50","342.00","14.52K","0.73%"
"Dec 22, 1983","340.75","338.38","341.00","338.25","16.70K","1.04%"
"Dec 21, 1983","337.25","336.88","337.75","336.00","12.96K","0.90%"
"Dec 20, 1983","334.25","341.25","341.50","333.50","-","-0.96%"
"Dec 19, 1983","337.50","329.75","337.50","329.50","1.53K","3.05%"
"Dec 16, 1983","327.50","326.25","327.75","324.75","2.05K","0.61%"
"Dec 15, 1983","325.50","325.62","327.50","324.50","2.38K","0.08%"
"Dec 14, 1983","325.25","325.62","326.50","323.50","4.35K","-0.38%"
"Dec 13, 1983","326.50","327.50","328.25","325.50","2.57K","-0.76%"
"Dec 12, 1983","329.00","332.00","332.50","328.00","3.46K","-0.45%"
"Dec 09, 1983","330.50","333.12","333.50","330.00","3.16K","-0.97%"
"Dec 08, 1983","333.75","333.62","335.75","333.50","3.51K","0.07%"
"Dec 07, 1983","333.50","328.50","333.75","327.75","4.44K","1.44%"
"Dec 06, 1983","328.75","331.75","332.75","328.50","3.42K","-0.60%"
"Dec 05, 1983","330.75","334.62","335.00","330.00","6.74K","-1.71%"
"Dec 02, 1983","336.50","340.12","340.25","336.25","4.12K","-1.25%"
"Dec 01, 1983","340.75","341.12","341.25","337.50","5.47K","0.07%"
"Nov 30, 1983","340.50","344.12","345.00","340.25","10.08K","-0.29%"
"Nov 29, 1983","341.50","342.25","343.50","341.25","20.72K","-0.51%"
"Nov 28, 1983","343.25","343.25","344.50","341.00","13.67K","1.03%"
"Nov 25, 1983","339.75","337.25","340.00","337.00","7.03K","1.27%"
"Nov 23, 1983","335.50","334.50","336.00","333.25","22.16K","-0.30%"
"Nov 22, 1983","336.50","344.38","345.50","336.00","22.16K","-1.68%"
"Nov 21, 1983","342.25","345.00","345.50","342.00","11.14K","-1.30%"
"Nov 18, 1983","346.75","350.62","351.25","346.00","10.32K","-1.35%"
"Nov 17, 1983","351.50","351.00","352.50","346.00","12.92K","-0.07%"
"Nov 16, 1983","351.75","355.88","356.50","348.25","21.56K","-1.81%"
"Nov 15, 1983","358.25","357.00","359.00","356.00","12.89K","0.77%"
"Nov 14, 1983","355.50","356.25","356.50","352.50","15.82K","-0.42%"
"Nov 11, 1983","357.00","359.25","360.50","355.50","24.34K","-0.63%"
"Nov 10, 1983","359.25","357.62","359.50","357.50","16.04K","0.35%"
"Nov 09, 1983","358.00","356.25","360.75","356.00","30.70K","0.21%"
"Nov 08, 1983","357.25","357.25","358.50","355.25","32.82K","-0.14%"
"Nov 07, 1983","357.75","354.25","358.00","352.75","26.66K","0.92%"
